total,top_n_accuracy,top_1_accuracy,mean_precision,mean_recall,mean_f1,mean_mrr,vn_weight,sem_weight,min_sim,top_n
73,0.1780821917808219,0.0273972602739726,0.04657534246575342,0.08932648401826483,0.05269920338413489,0.12899543378995432,0.0,1.0,0.2,5
73,0.1780821917808219,0.0273972602739726,0.04657534246575342,0.08932648401826483,0.05269920338413489,0.12899543378995432,0.0,1.0,0.3,5
73,0.1780821917808219,0.0273972602739726,0.04657534246575342,0.08932648401826483,0.05269920338413489,0.12899543378995432,0.0,1.0,0.4,5
73,0.1780821917808219,0.0273972602739726,0.04657534246575342,0.08932648401826483,0.05269920338413489,0.12899543378995432,0.0,1.0,0.5,5
73,0.1780821917808219,0.0273972602739726,0.049315068493150684,0.08761415525114155,0.054873589120164455,0.12899543378995432,0.0,1.0,0.6,5
73,0.1780821917808219,0.0273972602739726,0.04657534246575342,0.08932648401826483,0.05269920338413489,0.12899543378995432,0.0,0.8,0.2,5
73,0.1780821917808219,0.0273972602739726,0.04657534246575342,0.08932648401826483,0.05269920338413489,0.12899543378995432,0.0,0.8,0.3,5
73,0.1780821917808219,0.0273972602739726,0.04657534246575342,0.08932648401826483,0.05269920338413489,0.12899543378995432,0.0,0.8,0.4,5
73,0.1506849315068493,0.0136986301369863,0.04703196347031964,0.07077625570776257,0.047401609045444666,0.10159817351598173,0.0,0.8,0.5,5
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.6,5
73,0.1780821917808219,0.0273972602739726,0.04657534246575342,0.08932648401826483,0.05269920338413489,0.12899543378995432,0.0,0.6,0.2,5
73,0.1780821917808219,0.0273972602739726,0.04657534246575342,0.08932648401826483,0.05269920338413489,0.12899543378995432,0.0,0.6,0.3,5
73,0.0410958904109589,0.0136986301369863,0.0182648401826484,0.0228310502283105,0.01917808219178082,0.03424657534246575,0.0,0.6,0.4,5
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.5,5
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,5
73,0.1780821917808219,0.0273972602739726,0.04657534246575342,0.08932648401826483,0.05269920338413489,0.12899543378995432,0.0,0.4,0.2,5
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.3,5
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,5
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.5,5
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.6,5
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,5
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,5
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,5
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.5,5
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.6,5
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,5
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,5
