configuration,MRR,precision_at_1,precision_at_5,recall_at_5,f1_at_5,ndcg_at_5,coverage
(Matcher_Old) semantic,0.38858447488584474,0.3013698630136986,0.1917808219178082,0.29582517938682323,0.21312363435651108,0.2900763427792713,0.9863013698630136
(Matcher_Old) lexical,0.3698630136986301,0.2876712328767123,0.21461187214611868,0.22813111545988257,0.20237304552373045,0.24451778496361612,1.0
(Matcher_Old) balanced,0.3835616438356164,0.3013698630136986,0.17260273972602738,0.28897586431833006,0.20071975208961512,0.2841903163433742,1.0
version 3 (OptimizedMatcher),0.3897260273972603,0.2876712328767123,0.16164383561643833,0.30651500326157854,0.1950021819884834,0.27618328286112276,1.0
version 4 st(EfficientMatcherV2),0.26849315068493146,0.1506849315068493,0.12328767123287673,0.2384050880626223,0.1500358849673918,0.2023255701317329,1.0
version 4 spacy(EfficientMatcherV2),0.08401826484018264,0.0136986301369863,0.052054794520547946,0.10983365949119372,0.066513775417885,0.06957796350639242,1.0
version 5 (hybrid enhanced),0.07557077625570775,0.0136986301369863,0.043835616438356165,0.0806099151989563,0.05343484521566714,0.05642608274076195,1.0
version 2 st(EfficientMatcherV1),0.07260273972602739,0.0136986301369863,0.0410958904109589,0.08260763209393346,0.04941223160401243,0.0563428670566355,1.0
version 2 spacy(EfficientMatcherV1),0.04931506849315068,0.0136986301369863,0.0273972602739726,0.0433382257012394,0.030690770416797814,0.033035748974286586,1.0
